anidbid,mal_id,thetvdb_id
1360,842,80015
1364,2084,295364
1365,2085,295364
1366,2086,295364
1367,2087,120121
1370,3670,89101
1371,108,73239
1372,2789,75939
1373,5071,384935
1374,391,81693
1381,1794,72442
1382,763,73315
1383,1663,122151
1384,2452,82971
1385,2688,227471
1386,2689,227471
1387,852,174401
1389,312,85301
1390,314,85301
1391,2278,115371
1392,2041,276844
1393,2277,115371
1411,2716,373748
1412,2293,79103
1413,603,84334
1415,1580,258415
1416,2560,80241
1418,1259,72775
1419,1485,253430
1421,1431,71863
1425,83,80784
1427,139,79076
1428,2569,248254
1429,1246,82075
1430,3736,217361
1431,146,79032
1439,1483,71767
1440,2747,71952
1444,2038,157691
1445,1598,121951
1446,3044,80448
1447,4044,120501
1449,6374,73887
1450,6375,73887
1451,5688,265216
1452,6971,265216
1453,7307,265216
1454,8158,433093
1455,7619,265216
1456,442,78857
1457,2402,81232
1458,2921,81232
1459,5153,115141
1460,1666,307693
1461,1665,334022
1463,3235,227841
1465,2754,180051
1468,3060,262312
1469,2699,158991
1470,2700,158991
1471,2782,206331
1472,1626,141751
1473,1705,141751
1474,985,81472
1475,3033,277575
1476,2528,271770
1477,3448,160641
1478,515,85312
1480,6452,307690
1481,2510,251582
1484,1425,71863
1485,1426,71863
1489,1701,259360
1490,2264,81341
1491,3735,232511
1496,1572,81341
1497,20381,81341
1498,2565,81341
1499,2556,273878
1500,13047,81341
1503,1627,270233
1505,1148,98611
1506,3037,74731
1507,1879,181851
1508,2694,352685
1512,1859,79237
1514,10342,71952
1516,2461,249857
1517,2687,153151
1518,1288,393352
1519,1644,258414
1521,3193,334014
1522,,292662
1523,417,78975
1524,2383,77193
1527,8394,265215
1530,813,81472
1531,1529,175151
1532,964,123691
1534,1495,83403
1535,2516,87111
1536,109,74908
1537,5273,255289
1539,19,74599
1540,174,78974
1542,166,79127
1543,205,79089
1544,226,75941
1545,1880,181851
1548,3486,198751
1551,159,75000
1552,516,75414
1553,1371,98161
1554,98,83020
1555,649,75873
1560,851,176421
1562,4808,150631
1563,1471,72877
1564,1472,72877
1565,1473,72877
1566,1474,72877
1567,1475,72877
1568,1476,72877
1569,1477,72877
1570,1478,72877
1571,1479,72877
1576,4332,174131
1578,3021,153151
1579,1661,81462
1580,6496,258511
1581,3900,131271
1585,2077,79460
1586,1227,256873
1589,3026,259771
1590,5237,259771
1593,,81953
1594,131,80587
1595,,81953
1596,17165,81953
1607,872,78885
1608,2006,113561
1611,1187,80407
1612,1104,80281
1615,3882,276268
1617,3132,204681
1619,332,81095
1623,1381,72025
1625,438,80326
1631,2920,81232
1632,1992,159321
1633,625,261440
1635,518,74504
1637,730,185861
1639,2061,138691
1641,1086,80978
1644,2704,85428
1645,1085,80466
1647,961,82206
1648,102,79235
1649,2399,70817
1650,2553,129721
1651,2624,282708
1652,3481,112641
1653,234,167731
1654,252,75001
1655,3061,99461
1656,1110,75872
1657,2354,94701
1659,2355,94701
1661,163,70827
1662,151,81462
1663,340,80173
1664,1586,125921
1667,713,79101
1669,34249,336452
1670,2686,105441
1672,4208,251746
1674,2337,182391
1675,634,79142
1676,844,83421
1677,251,79879
1681,3800,240711
1682,956,113521
1683,3932,262280
1684,17521,299588
1685,1337,247921
1686,1537,185491
1690,2023,106541
1692,2255,164361
1697,533,84012
1698,2582,90521
1703,2391,157211
1707,3325,351995
1708,786,261468
1709,4532,245671
1714,616,82695
1715,1819,276287
1717,1382,93721
1724,18,70900
1726,63,79236
1727,2234,137331
1729,,113671
1730,2851,180121
1732,2078,96231
1733,783,79225
1734,1069,162281
1735,767,73526
1737,1212,80131
1740,5629,164361
1741,5266,164361
1742,2256,164361
1743,2766,345113
1746,1839,84212
1750,1590,74737
1751,4061,111131
1759,1524,83371
1761,655,79289
1762,275,85065
1763,351,82378
1764,2947,82378
1766,352,82378
1767,353,82378
1768,1376,82378
1769,229,82856
1771,7122,85230
1773,1704,87941
1774,764,84040
1775,1746,73259
1777,2113,84118
1779,7786,83566
1781,4154,161881
1783,240,78919
1784,2906,251752
1786,27693,414408
1787,1445,77777
1788,3571,77777
1790,7578,174401
1791,2948,82378
1793,5343,127221
1795,1026,195281
1796,7956,253278
1799,5129,253583
1801,3935,264300
1802,3595,166821
1803,1798,85070
1804,1121,76703
1805,241,78856
1806,75,81110
1807,930,103791
1808,2760,103791
1809,2761,103791
1810,483,80817
1811,307,139981
1812,2200,223521
1813,3305,83426
1814,1068,146511
1815,2816,251598
1816,5022,161911
1818,2283,256744
1819,2128,251649
1820,2127,249430
1822,2748,84097
1823,2901,111011
1824,3545,111011
1825,2836,81643
1827,2829,83630
1829,2828,83630
1832,2501,227731
1833,3317,263006
1836,2221,184541
1838,2978,89191
1839,2570,250585
1840,1327,79439
1841,951,167131
1842,6149,167131
1848,3053,82370
1849,4509,79033
1850,2316,251332
1854,8194,442146
1858,422,79022
1863,2045,195161
1864,2224,228851
1865,4639,84348
1866,4640,84348
1867,2525,98331
1868,239,79178
1870,2797,262313
1879,1176,176309
1884,1256,72775
1885,9438,394335
1886,1258,72775
1887,1255,72775
1889,1260,72775
1890,3356,254807
1893,3285,282607
1894,3838,282607
1899,3870,347316
1900,4113,364782
1901,6311,323089
1905,3630,253280
1906,3388,251036
1907,2827,131141
1908,7004,131141
1911,4198,83632
1912,10562,261250
1913,2800,79884
1915,2802,79884
